fixture_id,team_id,player_id,position_string,grid_x,grid_y,role,role_profile,side,band
1378976,49,425733,F,,,W,wide forward / winger,UNK,UNK
1378976,52,19088,G,1.0,1.0,GK,goalkeeper,L,deep
1378976,52,126949,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378976,52,20995,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378976,52,67971,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378976,52,13736,M,3.0,4.0,CM,central / attacking midfielder,C,high
1378976,52,288102,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378976,52,18806,M,3.0,2.0,DM,defensive midfielder,C,deep
1378976,52,182201,M,3.0,1.0,DM,defensive midfielder,C,deep
1378976,52,2218,F,4.0,2.0,W,wide forward / winger,R,deep
1378976,52,19586,F,4.0,1.0,W,wide forward / winger,R,deep
1378976,52,25927,F,5.0,1.0,W,wide forward / winger,R,deep
1378976,52,2490,M,,,CM,central / attacking midfielder,UNK,UNK
1378976,52,18862,D,,,FB,full-back / wing-back,UNK,UNK
1378976,52,402640,M,,,CM,central / attacking midfielder,UNK,UNK
1378976,52,1135,F,,,W,wide forward / winger,UNK,UNK
1378976,52,26303,D,,,FB,full-back / wing-back,UNK,UNK
1378976,52,22157,G,,,GK,goalkeeper,UNK,UNK
1378976,52,284449,M,,,CM,central / attacking midfielder,UNK,UNK
1378976,52,286458,M,,,CM,central / attacking midfielder,UNK,UNK
1378976,52,380703,M,,,CM,central / attacking midfielder,UNK,UNK
1378972,65,2919,G,1.0,1.0,GK,goalkeeper,L,deep
1378972,65,2771,D,2.0,4.0,FB,full-back / wing-back,L,high
1378972,65,2817,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378972,65,363695,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378972,65,138780,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378972,65,22149,M,3.0,2.0,DM,defensive midfielder,C,deep
1378972,65,138908,M,3.0,1.0,DM,defensive midfielder,C,deep
1378972,65,48648,M,4.0,3.0,CM,central / attacking midfielder,R,mid
1378972,65,18746,M,4.0,2.0,DM,defensive midfielder,R,deep
